n_trees,max_depth,random_state,split,acc,mcc
5,10,0,0,0.9473684210526315,0.8879790370127744
5,10,0,1,0.9385964912280702,0.8688882312695652
5,10,0,2,0.956140350877193,0.9063785942932301
5,10,0,3,0.9736842105263158,0.9441549509633318
5,10,0,4,0.911504424778761,0.812927376946773
5,10,1,0,0.9649122807017544,0.9266092224680211
5,10,1,1,0.9385964912280702,0.8758931191737623
5,10,1,2,0.9385964912280702,0.868859654660177
5,10,1,3,0.9210526315789473,0.8313407150271239
5,10,1,4,0.9469026548672567,0.885850302806926
5,10,2,0,0.9473684210526315,0.8875726517394207
5,10,2,1,0.9649122807017544,0.9266092224680211
5,10,2,2,0.9385964912280702,0.8713438408287706
5,10,2,3,0.9649122807017544,0.9259891667402068
5,10,2,4,0.9203539823008849,0.8304496543355543
10,10,0,0,0.956140350877193,0.9072320103372488
10,10,0,1,0.956140350877193,0.9068106119605033
10,10,0,2,0.9649122807017544,0.9259891667402068
10,10,0,3,0.9385964912280702,0.8749566583130942
10,10,0,4,0.9734513274336283,0.9430521597641348
10,10,1,0,0.9473684210526315,0.8879790370127744
10,10,1,1,0.9385964912280702,0.8700557165994895
10,10,1,2,0.9210526315789473,0.8313407150271239
10,10,1,3,0.9473684210526315,0.8886350389948482
10,10,1,4,0.9823008849557522,0.9621059691482227
10,10,2,0,0.9298245614035088,0.8556329831547179
10,10,2,1,0.9736842105263158,0.9438975339262832
10,10,2,2,0.9298245614035088,0.8544784126535336
10,10,2,3,0.9649122807017544,0.9246031746031746
10,10,2,4,0.9646017699115044,0.9241445201815177
50,10,0,0,0.956140350877193,0.9063785942932301
50,10,0,1,0.9473684210526315,0.8875726517394207
50,10,0,2,0.956140350877193,0.9085472857180888
50,10,0,3,0.9473684210526315,0.8869047619047619
50,10,0,4,0.9734513274336283,0.9430521597641348
50,10,1,0,0.9824561403508771,0.9626596790042581
50,10,1,1,0.956140350877193,0.9086150974691304
50,10,1,2,0.956140350877193,0.9054466190452621
50,10,1,3,0.9824561403508771,0.962621902223779
50,10,1,4,0.9469026548672567,0.8909522879616081
50,10,2,0,0.9649122807017544,0.9266092224680211
50,10,2,1,0.9736842105263158,0.9438975339262832
50,10,2,2,0.9736842105263158,0.9438975339262832
50,10,2,3,0.9298245614035088,0.8492063492063492
50,10,2,4,0.9557522123893806,0.9058843898178032
100,3,0,0,0.956140350877193,0.9063785942932301
100,3,0,1,0.9298245614035088,0.8498599114120655
100,3,0,2,0.9473684210526315,0.8864143349643965
100,3,0,3,0.9649122807017544,0.9246031746031746
100,3,0,4,0.9646017699115044,0.9241445201815177
100,3,1,0,0.9649122807017544,0.9252853920667758
100,3,1,1,0.9736842105263158,0.9438975339262832
100,3,1,2,0.9385964912280702,0.8675534786006366
100,3,1,3,0.956140350877193,0.9054466190452621
100,3,1,4,0.9380530973451328,0.8668508457366425
100,3,2,0,0.9298245614035088,0.8503120383861473
100,3,2,1,0.9385964912280702,0.8700557165994895
100,3,2,2,0.9649122807017544,0.9258200997725514
100,3,2,3,0.9473684210526315,0.8886350389948482
100,3,2,4,0.9646017699115044,0.9242119382964453
100,7,0,0,0.9649122807017544,0.9253193580085162
100,7,0,1,0.9649122807017544,0.9266092224680211
100,7,0,2,0.9649122807017544,0.9246031746031746
100,7,0,3,0.9473684210526315,0.8864143349643965
100,7,0,4,0.9557522123893806,0.904966064677163
100,7,1,0,0.9824561403508771,0.9626596790042581
100,7,1,1,0.9824561403508771,0.962998132394131
100,7,1,2,0.9122807017543859,0.8174119974927639
100,7,1,3,0.9385964912280702,0.8687664928166448
100,7,1,4,1.0,1.0
100,7,2,0,0.9736842105263158,0.9438975339262832
100,7,2,1,0.9298245614035088,0.8503120383861473
100,7,2,2,0.9473684210526315,0.8864143349643965
100,7,2,3,0.9736842105263158,0.9438975339262832
100,7,2,4,0.9557522123893806,0.9058843898178032
100,10,0,0,0.9649122807017544,0.9266092224680211
100,10,0,1,0.9473684210526315,0.8896062549754361
100,10,0,2,0.9649122807017544,0.9246031746031746
100,10,0,3,0.9649122807017544,0.9245181185940877
100,10,0,4,0.9380530973451328,0.8681670220766787
100,10,1,0,0.956140350877193,0.9072320103372488
100,10,1,1,0.9736842105263158,0.9438975339262832
100,10,1,2,0.9298245614035088,0.8483105513347052
100,10,1,3,0.9736842105263158,0.9441549509633318
100,10,1,4,0.9734513274336283,0.9430521597641348
100,10,2,0,0.9385964912280702,0.8700557165994895
100,10,2,1,0.9649122807017544,0.9252853920667758
100,10,2,2,0.9736842105263158,0.9433397594898876
100,10,2,3,0.9824561403508771,0.9623015873015873
100,10,2,4,0.9557522123893806,0.904966064677163
200,10,0,0,0.9473684210526315,0.8896062549754361
200,10,0,1,0.956140350877193,0.9068106119605033
200,10,0,2,0.9649122807017544,0.9245181185940877
200,10,0,3,0.9824561403508771,0.9623015873015873
200,10,0,4,0.9469026548672567,0.885850302806926
200,10,1,0,0.9736842105263158,0.9447329926514414
200,10,1,1,0.9824561403508771,0.9626596790042581
200,10,1,2,0.9473684210526315,0.8869047619047619
200,10,1,3,0.9473684210526315,0.8869047619047619
200,10,1,4,0.9557522123893806,0.9058843898178032
200,10,2,0,0.956140350877193,0.9063785942932301
200,10,2,1,0.9649122807017544,0.9252853920667758
200,10,2,2,0.956140350877193,0.9054466190452621
200,10,2,3,0.956140350877193,0.9063785942932301
200,10,2,4,0.9911504424778761,0.9813191253000522
