clients,n_trees,max_depth,bins,random_state,split,acc,mcc
2,5,10,25,0,2,0.9298245614035088,0.8492063492063492
2,5,10,25,0,3,0.9473684210526315,0.8864143349643965
2,5,10,25,0,4,0.9649122807017544,0.9246031746031746
2,5,10,50,0,0,0.9473684210526315,0.8904905361044291
2,5,10,50,0,1,0.9122807017543859,0.8219277191853159
2,5,10,50,0,2,0.9122807017543859,0.810206767705014
2,5,10,50,0,3,0.9298245614035088,0.8492063492063492
2,5,10,50,0,4,0.9473684210526315,0.8864143349643965
2,5,10,50,0,0,0.9473684210526315,0.8886350389948482
2,5,10,50,0,1,0.9649122807017544,0.9258200997725514
2,5,10,50,0,2,0.9473684210526315,0.8894991799933214
2,5,10,50,0,3,0.9122807017543859,0.8219277191853159
2,5,10,50,0,4,0.9642857142857143,0.9278305692406299
2,5,10,50,0,0,0.9473684210526315,0.8886350389948482
2,5,10,50,0,1,0.9473684210526315,0.8864143349643965
2,5,10,50,0,2,0.9473684210526315,0.8864143349643965
2,5,10,50,0,3,0.8947368421052632,0.7803455823319942
2,5,10,50,0,4,0.9821428571428571,0.9629500128629354
2,5,10,50,0,0,0.9649122807017544,0.925974025974026
2,5,10,50,0,1,0.9473684210526315,0.8955910525085281
2,5,10,50,0,2,0.9298245614035088,0.8486684247915055
2,5,10,50,0,3,0.9298245614035088,0.8486684247915055
2,5,10,50,0,4,0.9473684210526315,0.8864143349643965
2,5,10,50,0,0,0.9122807017543859,0.8154355063002009
2,5,10,50,0,1,0.8947368421052632,0.7738095238095238
2,5,10,50,0,2,0.9298245614035088,0.8486684247915055
2,5,10,50,0,3,0.9298245614035088,0.8492063492063492
2,5,10,50,0,4,0.9473684210526315,0.8864143349643965
2,5,10,50,0,0,0.8947368421052632,0.7793646498329633
2,5,10,50,0,1,0.9122807017543859,0.8112561965679829
2,5,10,50,0,2,0.9298245614035088,0.8535639569308375
2,5,10,50,0,3,1.0,1.0
2,5,10,50,0,4,0.9464285714285714,0.8874245216579992
2,5,10,100,0,0,0.9473684210526315,0.8904905361044291
2,5,10,100,0,1,0.9473684210526315,0.8955910525085281
2,5,10,100,0,2,0.9298245614035088,0.8486684247915055
2,5,10,100,0,3,0.9122807017543859,0.8219277191853159
2,5,10,100,0,4,0.9298245614035088,0.8492063492063492
2,5,10,100,0,0,0.9122807017543859,0.8170347321131809
2,5,10,100,0,1,0.9824561403508771,0.962621902223779
2,5,10,100,0,2,0.9298245614035088,0.8486684247915055
2,5,10,100,0,3,0.9298245614035088,0.8544784126535336
2,5,10,100,0,4,0.8928571428571429,0.777878154009821
2,5,10,100,0,0,0.9473684210526315,0.8904905361044291
2,5,10,100,0,1,0.9473684210526315,0.8955910525085281
2,5,10,100,0,2,0.9473684210526315,0.8886350389948482
2,5,10,100,0,3,0.9824561403508771,0.962621902223779
2,5,10,100,0,4,0.9298245614035088,0.8492063492063492
2,5,10,100,0,0,0.9298245614035088,0.851823761469308
2,5,10,100,0,1,0.9824561403508771,0.962621902223779
2,5,10,100,0,2,0.9649122807017544,0.9258200997725514
2,5,10,100,0,3,0.9824561403508771,0.962621902223779
2,5,10,100,0,4,0.9642857142857143,0.9278305692406299
2,5,10,100,0,0,0.9649122807017544,0.925974025974026
2,5,10,100,0,1,0.9298245614035088,0.8486684247915055
2,5,10,100,0,2,0.9298245614035088,0.8486684247915055
2,5,10,100,0,3,0.9122807017543859,0.810206767705014
