clients,n_trees,max_depth,random_state,split,acc,mcc
2,10,10,1,2,0.9298245614035088,0.8492063492063492
2,10,10,1,3,0.9122807017543859,0.8139267835041308
2,10,10,1,4,0.9298245614035088,0.8544784126535336
2,10,10,2,0,0.9298245614035088,0.851823761469308
2,10,10,2,1,0.9649122807017544,0.9246031746031746
2,10,10,2,2,0.9298245614035088,0.8486684247915055
2,10,10,2,3,0.9298245614035088,0.8544784126535336
2,10,10,2,4,0.9285714285714286,0.8476190476190476
2,10,10,2,0,0.9473684210526315,0.8904905361044291
2,10,10,2,1,0.9298245614035088,0.8544784126535336
2,10,10,2,2,0.8771929824561403,0.7339992004456315
2,10,10,2,3,0.9122807017543859,0.8139267835041308
2,10,10,2,4,0.9649122807017544,0.9246031746031746
2,50,10,0,0,0.9298245614035088,0.851823761469308
2,50,10,0,1,0.9824561403508771,0.962621902223779
2,50,10,0,2,0.9473684210526315,0.8894991799933214
2,50,10,0,3,0.9649122807017544,0.9246031746031746
2,50,10,0,4,0.9821428571428571,0.9622504486493763
2,50,10,0,0,0.9473684210526315,0.8886350389948482
2,50,10,0,1,0.9473684210526315,0.8886350389948482
2,50,10,0,2,0.9122807017543859,0.810206767705014
2,50,10,0,3,0.9473684210526315,0.8864143349643965
2,50,10,0,4,0.9649122807017544,0.9246031746031746
2,50,10,1,0,0.9298245614035088,0.851823761469308
2,50,10,1,1,0.9824561403508771,0.962621902223779
2,50,10,1,2,0.9473684210526315,0.8894991799933214
2,50,10,1,3,0.9649122807017544,0.9246031746031746
2,50,10,1,4,0.9642857142857143,0.9238095238095239
2,50,10,1,0,0.9473684210526315,0.8886350389948482
2,50,10,1,1,0.8947368421052632,0.7803455823319942
2,50,10,1,2,0.9122807017543859,0.8139267835041308
2,50,10,1,3,0.9298245614035088,0.8492063492063492
2,50,10,1,4,0.9649122807017544,0.9246031746031746
2,50,10,2,0,0.9298245614035088,0.851823761469308
2,50,10,2,1,0.9824561403508771,0.962621902223779
2,50,10,2,2,0.9298245614035088,0.8486684247915055
2,50,10,2,3,0.9473684210526315,0.8886350389948482
2,50,10,2,4,0.9642857142857143,0.9251247785330668
2,50,10,2,0,0.9473684210526315,0.8886350389948482
2,50,10,2,1,0.9473684210526315,0.8886350389948482
